Year,Category,Name,Location,Province,Coordinates
2016,Manufacturing,PT Timah Tbk,"Kundur, Riau Islands",ID-KR,"[0.8854084399874703, 103.39287883695316]"
2016,Manufacturing,PT Brite Polymer,"Cikarang, West Java",ID-JB,"[-6.290025266335069, 107.14013335416801]"
2016,Manufacturing,PT San Darma Plastics,"Bandung, West Java",ID-JB,"[-6.28951098204151, 107.12817833569132]"
2016,Manufacturing,PT Solo Murni,"Surakarta, Central Java",ID-JT,"[-7.555013576524632, 110.79721309664153]"
2016,Manufacturing,PT Sriboga Flour Mill,"Semarang, Central Java",ID-JT,"[-6.9513593024275, 110.42507561369526]"
2016,Manufacturing,PT Indonesia Chemical Alumina,"Tayan, West Kalimantan",ID-KB,"[-0.046249252090470976, 110.14025228465509]"
2016,Manufacturing,PT Mega Surya Eratama,"Mojokerto, East Java",ID-JI,"[-7.530168512198796, 112.61043195232617]"
2016,Manufacturing,PT Mitracitra Mandiri Offset,"Sidoarjo, East Java",ID-JI,"[-7.36924738940966, 112.65717479650401]"
2016,Manufacturing,PT Petronika Gresik,"Gresik, East Java",ID-JI,"[-7.150010121005961, 112.63354020999478]"
2016,Power Plants,PLTA Poso Energy,"Poso, Central Sulawesi",ID-ST,"[-1.6291912619975253, 120.66199149493573]"
2016,Power Plants,PLTM Segara 2,"Lombok, West Nusa Tenggara",ID-NB,"[-8.395116808709753, 116.19022397116414]"
2016,Power Plants,PLTA Asahan-1,"Toba Samosir, North Sumatra",ID-SU,"[2.5124949902174936, 99.26230168298629]"
2016,Power Plants,PT Lombok Energy Dynamic (PLTU),"Lombok, West Nusa Tenggara",ID-NB,"[-8.433164660254528, 116.70506059000371]"
2016,Maritime Ports,PT Terminal Teluk Lamong,"Surabaya, East Java",ID-JI,"[-7.203895834642449, 112.66922728851894]"
2016,Geothermal,PT Chevron Geothermal Salak,"Sukabumi, West Java",ID-JB,"[-6.7408733173198865, 106.67349473433804]"
2016,Geothermal,"PT Chevron Geothermal Indonesia, Darajat","Garut,  West Java",ID-JB,"[-7.198410934009379, 107.72598768474045]"
2016,Oil & Gas,"PT ARSynergy, Resources","Gresik, East Java",ID-JI,"[-7.116450699795728, 112.62053413883037]"
2016,Oil & Gas,PT PLN (Persero) - CNG Gresik,"Gresik, East Java",ID-JI,"[-7.162451090597054, 112.66688718115901]"
2016,Information & Communication Technology,"PT Telkom Indonesia, Tbk",Jakarta,ID-JK,"[-6.232162067399585, 106.79844323761071]"
2016,High-Rise Buildings,The Residence at Dharmawangsa II,Jakarta,ID-JK,"[-6.251810968045441, 106.80497509464509]"
2016,High-Rise Buildings,Sudirman Residence,Jakarta,ID-JK,"[-6.209243239479107, 106.82360051369024]"
2016,High-Rise Buildings,Senopati Suite,Jakarta,ID-JK,"[-6.228830828913476, 106.80259252718275]"
2016,High-Rise Buildings,BCA Learning Center,"Bogor, West Java",ID-JB,"[-6.585664174585624, 106.88204081184159]"
2016,High-Rise Buildings,Aston Sentul Lake Resort & Conference Center,"Bogor,  West Java",ID-JB,"[-6.586215258784297, 106.88224561184177]"
2017,Petrochemical,PT Pupuk Kujang - Ammonia & Urea Plant Kujang 1B,"Cikampek, West Java",ID-JB,"[-6.4065854527373824, 107.42797819615548]"
2017,Petrochemical,PT Pupuk Kujang - NPK 1 & 2 Plants,"Cikampek, West Java",ID-JB,"[-6.401449272054318, 107.42825787522553]"
