Year,Category,Name,Location,Province,Coordinates
2025,Insurance,PT Asuransi Tugu Pratama Indonesia Tbk,Jakarta,ID-JK,"[-6.143438866965652, 106.8246807605481]"
2022,Power Plants,PT PLN (Persero) - UIP Tanjung Jati B,"Jepara, Central Java",ID-JT,"[-6.445860687567678, 110.74165570917695]"
2024,Coal Logistics,PT Pelayaran Bahtera Adhiguna (BAg),Jakarta,ID-JK,"[-6.135000646117177, 106.8119862408268]"
2021,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2021,Engineering,PT Prima Layanan Nasional Engineering (PLNE),Jakarta,ID-JK,"[-6.1867943024741, 106.8087630812996]"
2025,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2023,Geothermal,PT Geo Dipa Energi (Persero),Jakarta,ID-JK,"[-6.274345050429179, 106.82959799664583]"
2022,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2022,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2025,Geothermal,PT Geo Dipa Energi (Persero),Jakarta,ID-JK,"[-6.274345050429179, 106.82959799664583]"
2024,Power Plants,PT PLN Batam,"Batam, Riau Islands",ID-KR,"[1.336614282917032, 104.04545437532482]"
2021,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2021,Power Plants,PT PLN (Persero),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2021,Power Plants,PT PLN Nusantara Power,Jakarta,ID-JK,"[-6.294460479321962, 106.83183059332346]"
2021,Power Plants,PT PLN Indonesia Power,Jakarta,ID-JK,"[-6.228001012829623, 106.82741342857267]"
2023,Information & Communication Technology,PT Gerbang Sinergi Prima,"Bandung, West Java",ID-JB,"[-6.893717275351719, 107.63745944133838]"
2023,Insurance,PLN Group (Sponsorship PROTEKSI Batch 1),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2023,Insurance,PLN Group (Sponsorship PROTEKSI Batch 2),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2026,Outsourcing Provider,PT Andika Energindo,Jakarta,ID-JK,"[-6.251858831097346, 106.76309234457865]"
2026,Information & Communication Technology,PT Gerbang Sinergi Prima,"Bandung, West Java",ID-JB,"[-6.893717275351719, 107.63745944133838]"
2021,Insurance,PT Asuransi Jasa Indonesia,Jakarta,ID-JK,"[-6.206016624802404, 106.82895573525285]"
2021,Insurance,PT Asuransi Jasa Indonesia,Jakarta,ID-JK,"[-6.206016624802404, 106.82895573525285]"
2024,Coal Logistics,PT Pelayaran Bahtera Adhiguna (BAg),Jakarta,ID-JK,"[-6.135000646117177, 106.8119862408268]"
2024,Mining Logistics,PT Adhi Guna Putera,Jakarta,ID-JK,"[-6.152563985005769, 106.83464579664498]"
2024,Coal Logistics,PT Pelayaran Bahtera Adhiguna (BAg),Jakarta,ID-JK,"[-6.135000646117177, 106.8119862408268]"
2024,Mining Logistics,PT Adhi Guna Putera,Jakarta,ID-JK,"[-6.152563985005769, 106.83464579664498]"
2024,Power Plants,PT PLN Indonesia Power - UBP Bali,"Denpasar, Bali",ID-BA,"[-8.716536458642993, 115.2126028101559]"
2025,Insurance,PT Asuransi Tugu Pratama Indonesia Tbk ,Jakarta,ID-JK,"[-6.143438866965652, 106.8246807605481]"
2025,Insurance,PT Asuransi Tugu Pratama Indonesia Tbk ,Jakarta,ID-JK,"[-6.143438866965652, 106.8246807605481]"
2026,Insurance,PT Asuransi Tugu Pratama Indonesia Tbk,Jakarta,ID-JK,"[-6.143438866965652, 106.8246807605481]"
2023,Oil & Gas,PT Elnusa Tbk,Jakarta,ID-JK,"[-6.289517437096227, 106.80962589664588]"
2025,Insurance,PT Asuransi Tugu Pratama Indonesia Tbk,Jakarta,ID-JK,"[-6.143438866965652, 106.8246807605481]"
2024,Consultant,PT Aida Consultant,Jakarta,ID-JK,"[-6.243747729160787, 106.85742499850035]"
2024,Insurance,PLN Group (Sponsorship PROTEKSI Batch 1),Jakarta,ID-JK,"[-6.236872159817317, 106.80365385470564]"
2024,Power Plants,PT PLN Batam,"Batam, Riau Islands",ID-KR,"[1.336614282917032, 104.04545437532482]"
2024,Coal Logistics,PT Pelayaran Bahtera Adhiguna (BAg),Jakarta,ID-JK,"[-6.135000646117177, 106.8119862408268]"
2024,Natural Gas Logistics,PT PLN Energi Gas,Jakarta,ID-JK,"[-6.240427562284667, 106.84121828315476]"
2024,Coal Logistics,PT Pelayaran Bahtera Adhiguna (BAg),Jakarta,ID-JK,"[-6.135000646117177, 106.8119862408268]"
2024,Power Plants,PT PLN Batam,"Batam, Riau Islands",ID-KR,"[1.336614282917032, 104.04545437532482]"
2025,Insurance,PT Asuransi Tugu Pratama Indonesia Tbk ,Jakarta,ID-JK,"[-6.143438866965652, 106.8246807605481]"
2025,Mining Logistics,PT Adhi Guna Putera,Jakarta,ID-JK,"[-6.152563985005769, 106.83464579664498]"
2025,Power Plants,PT PLN Nusantara Power,Jakarta,ID-JK,"[-6.294460479321962, 106.83183059332346]"
2025,Power Plants,PT PLN Batam,"Batam, Riau Islands",ID-KR,"[1.336614282917032, 104.04545437532482]"
2025,Natural Gas Logistics,PT PLN Energi Gas,Jakarta,ID-JK,"[-6.240427562284667, 106.84121828315476]"
2026,Power Plants,PT PLN Batam ,"Batam, Riau Islands",ID-KR,"[1.336614282917032, 104.04545437532482]"
2026,Natural Gas Logistics,PT PLN Energi Gas,Jakarta,ID-JK,"[-6.240427562284667, 106.84121828315476]"
